_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone
401,a20,b188,Guelaguetza Restaurante,3014 W Olympic Blvd,Los Angeles,90006.0,2134270608.0,Guelaguetza,3014 W Olympic Blvd,Los Angeles,90006.0,2134270608.0
415,a23,b546,Park's BBQ,955 S Vermont Ave,Los Angeles,90006.0,2133801717.0,Park's BBQ,955 S Vermont Ave,Los Angeles,90006.0,2133801717.0
440,a28,b610,Beverly Soon Tofu Restaurant,2717 W Olympic Blvd,Los Angeles,90006.0,2133801113.0,Beverly Soon Tofu,2717 W Olympic Blvd Ste 108,Los Angeles,90006.0,2133801113.0
442,a28,b1186,Beverly Soon Tofu Restaurant,2717 W Olympic Blvd,Los Angeles,90006.0,2133801113.0,Seoul Garden Restaurant,1833 W Olympic Blvd,Los Angeles,90006.0,2133868477.0
460,a34,b151,El Cholo,1121 S Western Ave,Los Angeles,90006.0,3237342773.0,El Cholo Restaurant,1121 S Western Ave,Los Angeles,90006.0,3237342773.0
494,a49,b2545,Hodori Restaurant,1001 S Vermont Ave,Los Angeles,90006.0,2133833554.0,Hodori Restaurant,1001 S Vermont Ave Ste 102,Los Angeles,90006.0,2133833554.0
495,a49,b2784,Hodori Restaurant,1001 S Vermont Ave,Los Angeles,90006.0,2133833554.0,A-Won Japanese Restaurant,913 S Vermont Ave,Los Angeles,90006.0,2133896764.0
550,a1130,b1186,Amar Desh Indian Restaurant,2411 W Olympic Blvd,Los Angeles,90006.0,2133521290.0,Seoul Garden Restaurant,1833 W Olympic Blvd,Los Angeles,90006.0,2133868477.0
565,a1132,b1983,Deung Chon Shabu & Mr. Kim's Dokgalbi,2585 W Olympic Blvd,Los Angeles,90006.0,2135683265.0,Myung In Dumplings,3109 W Olympic Blvd,Los Angeles,90006.0,2133813568.0
568,a4,b7,Langer's,704 S Alvarado St,Los Angeles,90057.0,2134838050.0,Langer's,704 S Alvarado St,Los Angeles,90057.0,2134838050.0
574,a43,b171,Tommy's Original World Famous Hamburgers,2575 Beverly Blvd,Los Angeles,90057.0,2133899060.0,Tommy's Original Hamburger,2575 Beverly Blvd,Los Angeles,90057.0,2133899060.0
664,a1135,b171,Jim's Burgers,3040 Beverly Blvd,Los Angeles,90057.0,2133843346.0,Tommy's Original Hamburger,2575 Beverly Blvd,Los Angeles,90057.0,2133899060.0
688,a6,b223,Soowon Galbi KBBQ Restaurant,856 S Vermont Ave,Los Angeles,90005.0,2133659292.0,Soowon Galbi,856 S Vermont Ave,Los Angeles,90005.0,2133659292.0
693,a6,b1353,Soowon Galbi KBBQ Restaurant,856 S Vermont Ave,Los Angeles,90005.0,2133659292.0,Kobawoo Restaurant,698 S Vermont Ave Ste 109,Los Angeles,90005.0,2133897300.0
703,a6,b2490,Soowon Galbi KBBQ Restaurant,856 S Vermont Ave,Los Angeles,90005.0,2133659292.0,Thai Original BBQ Restaurant,851 S Vermont Ave,Los Angeles,90005.0,2133898424.0
712,a9,b939,Slurpin' Ramen Bar,3500 W 8th St,Los Angeles,90005.0,2133888607.0,Slurpin' Ramen Bar,3500 W 8th St,Los Angeles,90005.0,2133888607.0
737,a18,b1914,Moodaepo II,3014 W 7th St,Los Angeles,90005.0,2133819990.0,Moodaepo II,3014 W 7th St,Los Angeles,90005.0,2133819990.0
755,a22,b1240,Oo-Kook Korean BBQ,3385 W 8th St,Los Angeles,90005.0,2133855665.0,Oo Kook Korean BBQ,3385 W 8th St,Los Angeles,90005.0,2133855665.0
763,a22,b2187,Oo-Kook Korean BBQ,3385 W 8th St,Los Angeles,90005.0,2133855665.0,Man Soo Korean BBQ,3423 W 8th St # 3429,Los Angeles,90005.0,2133889494.0
783,a25,b2113,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005.0,2133651750.0,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005.0,2133651750.0
792,a25,b2937,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005.0,2133651750.0,Palsaik Samgyupsal Korean BBQ,863 S Western Ave,Los Angeles,90005.0,
824,a38,b2074,HAUS We are serving our customer at Caffe Concerto,610 SSerrano Ave,Los Angeles,90005.0,2137380909.0,Caffe Concerto,610 S Serrano Ave,Los Angeles,90005.0,
840,a40,b1353,Kobawoo House,698 S Vermont Ave,Los Angeles,90005.0,2133897300.0,Kobawoo Restaurant,698 S Vermont Ave Ste 109,Los Angeles,90005.0,2133897300.0
866,a41,b2074,Concerto,610 S Serrano Ave,Los Angeles,90005.0,2137380909.0,Caffe Concerto,610 S Serrano Ave,Los Angeles,90005.0,
886,a50,b2071,Honey Pig,3400 W 8th St,Los Angeles,90005.0,2133800256.0,Honey Pig,3400 W 8th St,Los Angeles,90005.0,2133800256.0
899,a153,b775,Taylor's Steakhouse,3361 W 8th St,Los Angeles,90005.0,2133828449.0,Taylor's Steakhouse,3361 W 8th St,Los Angeles,90005.0,2133828449.0
1137,a2038,b1923,VIP Chinese Restaurant,705 S Western Ave,Los Angeles,90005.0,2133898532.0,Pollo a la Brasa- Peruvian Wood Rotisserie Chicken,764 S Western Ave,Los Angeles,90005.0,2133824090.0
1203,a2042,b2113,Han Kook Soondae,730 S Western Ave,Los Angeles,90005.0,2133800020.0,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005.0,2133651750.0
1277,a8,b372,BCD Tofu House,3575 Wilshire Blvd,Los Angeles,90010.0,2133826677.0,BCD Tofu House,3575 Wilshire Blvd,Los Angeles,90010.0,2133826677.0
1293,a10,b82,The Boiling Crab,3377 Wilshire Blvd,Los Angeles,90010.0,2133892722.0,The Boiling Crab,3377 Wilshire Blvd,Los Angeles,90010.0,2133892722.0
